,left_side,right_side,similairity
1729, 1828 NORTH CINCINNATI AVENUE,2458 NORTH CINCINNATI AVENUE,0.8002873266212421
1743,1745 EAST LATIMER COURT,1741 EAST LATIMER COURT,0.8241754430676174
1762, 112 NORTH OLYMPIA AVENUE,117 NORTH OLYMPIA AVENUE,0.8005802341874189
1765, 120 NORTH MAYBELLE AVENUE, 122 NORTH MAYBELLE AVENUE,0.8206813805769962
1766, 120 NORTH MAYBELLE AVENUE, 126 NORTH MAYBELLE AVENUE,0.8101197589287633
1768, 122 NORTH MAYBELLE AVENUE, 120 NORTH MAYBELLE AVENUE,0.8206813805769962
1769, 122 NORTH MAYBELLE AVENUE, 126 NORTH MAYBELLE AVENUE,0.8078097937952565
1771, 126 NORTH MAYBELLE AVENUE, 120 NORTH MAYBELLE AVENUE,0.8101197589287633
1772, 126 NORTH MAYBELLE AVENUE, 122 NORTH MAYBELLE AVENUE,0.8078097937952565
1825, 215 NORTH 31ST WEST AVE, 5 NORTH 31ST WEST AVE,0.8299174934485629
1862, 416 S FIFTY-EIGHTH W AVE,416 S FIFTY-EIGHTH W AVE,0.9548937523102924
1870, 5 NORTH 31ST WEST AVE, 215 NORTH 31ST WEST AVE,0.8299174934485629
1874, 5037 W ADMIRAL BOULEVARD,5037 WEST ADMIRAL BOULEVARD,0.8916862545534485
1912,NORTH MAIN STREET RESIDENTIAL DISTRICT,N MAIN ST RESIDENTIAL DISTRICT,0.830191352015334
1913,NORTH MAIN STREET RESIDENTIAL DISTRICT,N MAIN ST RESIDENTIAL DISTRICT,0.830191352015334
1914,NORTH MAIN STREET RESIDENTIAL DISTRICT,N MAIN ST RESIDENTIAL DISTRICT,0.830191352015334
1915,NORTH MAIN STREET RESIDENTIAL DISTRICT,N MAIN ST RESIDENTIAL DISTRICT,0.830191352015334
1938,1012 NORTH DELAWARE PLACE,1012 N. DELAWARE PL.,0.8192004991037228
1943,1020 EAST INDEPENDENCE STREET,1030 EAST INDEPENDENCE STREET,0.8457865334561121
1944,1020 EAST INDEPENDENCE STREET,1619 EAST INDEPENDENCE STREET,0.821898216651919
1946,1023 EAST HASKELL PLACE,1027 EAST HASKELL PLACE,0.8059588194008174
1948,1027 EAST HASKELL PLACE,1023 EAST HASKELL PLACE,0.8059588194008174
1957,1030 EAST INDEPENDENCE STREET,1020 EAST INDEPENDENCE STREET,0.8457865334561121
1958,1030 EAST INDEPENDENCE STREET,1619 EAST INDEPENDENCE STREET,0.8176890607436569
1994,1106 S FIFTY-EIGHTH W AVE,406 S FIFTY-EIGHTH W AVE,0.844424429527937
1996,1106 S FIFTY-SEVENTH W AVE,406 S FIFTY-SEVENTH W AVE,0.8493614016757081
2004,1110 S FIFTY-SEVENTH W AVE,410 S FIFTY-SEVENTH W AVE,0.8619517395197449
2005,1110 S FIFTY-SEVENTH W AVE,1111 S FIFTY-SEVENTH W AVE,0.8041202184220247
2008,1111 S FIFTY-SEVENTH W AVE,1110 S FIFTY-SEVENTH W AVE,0.8041202184220247
2012,1114 S FIFTY-SEVENTH W AVE,414 S FIFTY-SEVENTH W AVE,0.8607678718531062
2015,1118 S FIFTY-EIGHTH W AVE,418 S FIFTY-EIGHTH W AVE,0.846323155453329
2032,1122 S FIFTY-EIGHTH W AVE,422 S FIFTY-EIGHTH W AVE,0.856767217227028
2033,1122 S FIFTY-EIGHTH W AVE,412 S FIFTY-EIGHTH W AVE,0.8038884824105674
2038,1124 S FIFTY-SEVENTH W AVE,524 S FIFTY-SEVENTH W AVE,0.8674804497322202
2041,1126 S FIFTY-EIGHTH W AVE,426 S FIFTY-EIGHTH W AVE,0.8445380529690976
2044,1128 S FIFTY-SEVENTH W AVE,528 S FIFTY-SEVENTH W AVE,0.855334132205541
2048,1130 S FIFTY-EIGHTH W AVE,430 S FIFTY-EIGHTH W AVE,0.8552267558369678
2049,1130 S FIFTY-EIGHTH W AVE,830 S FIFTY-EIGHTH W AVE,0.8460647262696439
2053,1132 S FIFTY-SEVENTH W AVE,532 S FIFTY-SEVENTH W AVE,0.8676984705741189
2054,1132 S FIFTY-SEVENTH W AVE,512 S FIFTY-SEVENTH W AVE,0.8040122597748359
2075,1151 NORTH VANCOUVER AVENUE,123 NORTH VANCOUVER AVENUE,0.8133523233246476
2083,117 NORTH OLYMPIA AVENUE, 112 NORTH OLYMPIA AVENUE,0.8005802341874189
2088,CHEYENNE PARK HISTORIC DISTRICT,CHEYENNE HISTORIC DISTRICT,0.8131816023285167
2089,CHEYENNE PARK HISTORIC DISTRICT,CHEYENNE HISTORIC DISTRICT,0.8131816023285167
2090,CHEYENNE PARK HISTORIC DISTRICT,CHEYENNE HISTORIC DISTRICT,0.8131816023285167
2091,CHEYENNE PARK HISTORIC DISTRICT,CHEYENNE HISTORIC DISTRICT,0.8131816023285167
2092,CHEYENNE PARK HISTORIC DISTRICT,CHEYENNE HISTORIC DISTRICT,0.8131816023285167
2093,CHEYENNE PARK HISTORIC DISTRICT,CHEYENNE HISTORIC DISTRICT,0.8131816023285167
2094,CHEYENNE PARK HISTORIC DISTRICT,CHEYENNE HISTORIC DISTRICT,0.8131816023285167
2095,CHEYENNE PARK HISTORIC DISTRICT,CHEYENNE HISTORIC DISTRICT,0.8131816023285167
2115,1212 NORTH BOSTON AVE,1212 N BOSTON AVE,0.8066592440139116
2164,1332 NORTH MAIN STREET (GARAGE ONLY),2635 NORTH MAIN STREET (GARAGE ONLY),0.8273917184101859
2167,14 SOUTH OLYMPIA AVENUE,15 SOUTH OLYMPIA AVENUE,0.8910375313180485
2282,15 SOUTH OLYMPIA AVENUE,14 SOUTH OLYMPIA AVENUE,0.8910375313180485
2287,1515 EAST MARSHALL STREET,545 EAST MARSHALL STREET,0.8232368745662948
2288,1515 EAST MARSHALL STREET,545 EAST MARSHALL STREET ,0.8051600846147046
2304,1619 EAST INDEPENDENCE STREET,1020 EAST INDEPENDENCE STREET,0.821898216651919
2305,1619 EAST INDEPENDENCE STREET,1030 EAST INDEPENDENCE STREET,0.8176890607436569
2310,1628 NORTH NORFOLK AVENUE,1828 NORTH NORFOLK AVENUE,0.8336286328882793
2316,1715 EAST MARSHALL PLACE,505 EAST MARSHALL PLACE,0.824638306618064
2320,1741 EAST LATIMER COURT,1745 EAST LATIMER COURT,0.8241754430676174
2329,1827 NORTH NORFOLK AVENUE,1828 NORTH NORFOLK AVENUE,0.8095139900768124
2331,1828 NORTH NORFOLK AVENUE,1628 NORTH NORFOLK AVENUE,0.8336286328882793
2332,1828 NORTH NORFOLK AVENUE,1827 NORTH NORFOLK AVENUE,0.8095139900768124
2379,2112 NORTH OWASSO AVENUE,2115 NORTH OWASSO AVENUE,0.8397384799105513
2381,2115 NORTH OWASSO AVENUE,2112 NORTH OWASSO AVENUE,0.8397384799105513
2396,2131 EAST MOHAWK BLVD,219 EAST MOHAWK BLVD,0.8070442280316696
2418,219 EAST MOHAWK BLVD,2131 EAST MOHAWK BLVD,0.8070442280316696
2420,2204 S FIFTY-SEVENTH W AVE,504 S FIFTY-SEVENTH W AVE,0.8373118866671496
2424,2212 S FIFTY-SEVENTH W AVE,512 S FIFTY-SEVENTH W AVE,0.8500339722078417
2467,2458 NORTH CINCINNATI AVENUE, 1828 NORTH CINCINNATI AVENUE,0.8002873266212421
2474,2530 NORTH ROCKFORD AVENUE,2538 NORTH ROCKFORD AVENUE,0.8012831072083242
2482,2635 NORTH MAIN STREET (GARAGE ONLY),1332 NORTH MAIN STREET (GARAGE ONLY),0.8273917184101859
2545,403 S FIFTY-NINTH W AVE,823 S FIFTY-NINTH W AVE,0.8028795051243485
2546,403 S FIFTY-NINTH W AVE,423 S FIFTY-NINTH W AVE,0.8028795051243485
2547,403 S FIFTY-NINTH W AVE,813 S FIFTY-NINTH W AVE,0.801103231919516
2548,403 S FIFTY-NINTH W AVE,813 S FIFTY-NINTH W AVE,0.801103231919516
2550,405 S FIFTY-EIGHTH W AVE,425 S FIFTY-EIGHTH W AVE,0.808544236558005
2552,406 S FIFTY-EIGHTH W AVE,1106 S FIFTY-EIGHTH W AVE,0.844424429527937
2553,406 S FIFTY-EIGHTH W AVE,416 S FIFTY-EIGHTH W AVE,0.8163216874689666
2554,406 S FIFTY-EIGHTH W AVE,436 S FIFTY-EIGHTH W AVE,0.8052052816306497
2556,406 S FIFTY-SEVENTH W AVE,1106 S FIFTY-SEVENTH W AVE,0.8493614016757081
2557,406 S FIFTY-SEVENTH W AVE,416 S FIFTY-SEVENTH W AVE,0.8224926423918527
2563,410 S FIFTY-SEVENTH W AVE,1110 S FIFTY-SEVENTH W AVE,0.8619517395197449
2566,412 S FIFTY-EIGHTH W AVE,812 S FIFTY-EIGHTH W AVE,0.8916484842624964
2567,412 S FIFTY-EIGHTH W AVE,422 S FIFTY-EIGHTH W AVE,0.823640469621968
2568,412 S FIFTY-EIGHTH W AVE,1122 S FIFTY-EIGHTH W AVE,0.8038884824105674
2572,413 S FIFTY-EIGHTH W AVE,433 S FIFTY-EIGHTH W AVE,0.8096381399544836
2576,414 S FIFTY-SEVENTH W AVE,1114 S FIFTY-SEVENTH W AVE,0.8607678718531062
2577,414 S FIFTY-SEVENTH W AVE,524 S FIFTY-SEVENTH W AVE,0.813039368524812
2578,414 S FIFTY-SEVENTH W AVE,504 S FIFTY-SEVENTH W AVE,0.8026021276718802
2580,415 S FIFTY-NINTH W AVE,435 S FIFTY-NINTH W AVE,0.8031174415935651
2582,416 S FIFTY-EIGHTH W AVE, 416 S FIFTY-EIGHTH W AVE,0.9548937523102924
2583,416 S FIFTY-EIGHTH W AVE,436 S FIFTY-EIGHTH W AVE,0.8187964874058121
2584,416 S FIFTY-EIGHTH W AVE,406 S FIFTY-EIGHTH W AVE,0.8163216874689666
2585,416 S FIFTY-EIGHTH W AVE,426 S FIFTY-EIGHTH W AVE,0.8103550035505677
2587,416 S FIFTY-NINTH W AVE,426 S FIFTY-NINTH W AVE,0.8066758188099434
2589,416 S FIFTY-SEVENTH W AVE,406 S FIFTY-SEVENTH W AVE,0.8224926423918527
2593,417 S FIFTY-EIGHTH W AVE,437 S FIFTY-EIGHTH W AVE,0.8032887100871495
2595,418 S FIFTY-EIGHTH W AVE,1118 S FIFTY-EIGHTH W AVE,0.846323155453329
2597,419 S FIFTY-NINTH W AVE,439 S FIFTY-NINTH W AVE,0.8083916492252468
2603,422 S FIFTY-EIGHTH W AVE,1122 S FIFTY-EIGHTH W AVE,0.856767217227028
2604,422 S FIFTY-EIGHTH W AVE,412 S FIFTY-EIGHTH W AVE,0.823640469621968
2605,422 S FIFTY-EIGHTH W AVE,812 S FIFTY-EIGHTH W AVE,0.8088575866096948
2608,423 S FIFTY-NINTH W AVE,823 S FIFTY-NINTH W AVE,0.8812661421708449
2609,423 S FIFTY-NINTH W AVE,923 S FIFTY-NINTH W AVE,0.874324242809239
2610,423 S FIFTY-NINTH W AVE,813 S FIFTY-NINTH W AVE,0.8122651699103532
2611,423 S FIFTY-NINTH W AVE,813 S FIFTY-NINTH W AVE,0.8122651699103532
2612,423 S FIFTY-NINTH W AVE,403 S FIFTY-NINTH W AVE,0.8028795051243485
2615,425 S FIFTY-EIGHTH W AVE,405 S FIFTY-EIGHTH W AVE,0.808544236558005
2616,425 S FIFTY-EIGHTH W AVE,445 S FIFTY-EIGHTH W AVE,0.8002751381770193
2619,426 S FIFTY-EIGHTH W AVE,1126 S FIFTY-EIGHTH W AVE,0.8445380529690976
2620,426 S FIFTY-EIGHTH W AVE,416 S FIFTY-EIGHTH W AVE,0.8103550035505677
2622,426 S FIFTY-NINTH W AVE,416 S FIFTY-NINTH W AVE,0.8066758188099434
2628,430 S FIFTY-EIGHTH W AVE,830 S FIFTY-EIGHTH W AVE,0.8689032478174594
2629,430 S FIFTY-EIGHTH W AVE,1130 S FIFTY-EIGHTH W AVE,0.8552267558369678
2631,430 S FIFTY-NINTH W AVE,920 S FIFTY-NINTH W AVE,0.8029368026966488
